"","Assay Target","Target UniProt","Bioinfomatic annotated gene","Ensembl gene ID"
"366","CTSH","P09668","GNPTAB","ENSG00000111670"
"367","CTSL","P07711","KNG1","ENSG00000113889"
"368","CTSO","P43234","CELSR2","ENSG00000143126"
"369","CTSS","P25774","HORMAD1","ENSG00000143452"
"370","CTSV","O60911","PAX8-AS1","ENSG00000189223"
"371","CTSZ","Q9UBR2","CTSS","ENSG00000163131"
"372","CX3CL1","P78423","ECE1","ENSG00000117298"
"373","CXADR","P78310","GPR39","ENSG00000183840"
"374","CXCL1","P09341","ACKR1","ENSG00000213088"
"375","CXCL10","P02778","CCRL2","ENSG00000121797"
"376","CXCL11","O14625","CKAP2L","ENSG00000169607"
"377","CXCL12","P48061","COLEC11","ENSG00000118004"
"378","CXCL13","O43927",NA,NA
"379","CXCL14","O95715","PLA2G2A","ENSG00000188257"
"380","CXCL16","Q9H2A7","ACOXL","ENSG00000153093"
"381","CXCL17","Q6UXB2","SFTPC","ENSG00000168484"
"382","CXCL3","P19876",NA,NA
"383","CXCL5","P42830","MEF2D","ENSG00000116604"
"384","CXCL6","P80162","ACKR1","ENSG00000213088"
"385","CXCL8","P10145","HLA-DRB9","ENSG00000196301"
"386","CXCL9","Q07325","PTPN22","ENSG00000134242"
"387","DAB2","P98082","AC004917.1","ENSG00000243797"
"388","DAG1","Q14118",NA,NA
"389","DAPP1","Q9UN19","ARHGEF3","ENSG00000163947"
"390","DARS1","P14868","DARS1","ENSG00000115866"
"391","DBI","P07108",NA,NA
"392","DBNL","Q9UJU6","ARHGEF3","ENSG00000163947"
"393","DCBLD2","Q96PD2","CELSR2","ENSG00000143126"
"394","DCN","P07585","GCKR","ENSG00000084734"
"395","DCTN1","Q14203","TRIM58","ENSG00000162722"
"396","DCTN2","Q13561","ARHGEF3","ENSG00000163947"
"397","DCTN6","O00399","SUFU","ENSG00000107882"
"398","DCTPP1","Q9H773","AL590385.2","ENSG00000273112"
"399","DCXR","Q7Z4W1","AC091114.1","ENSG00000253111"
"400","DDAH1","O94760","DDAH1","ENSG00000153904"
"401","DDC","P20711",NA,NA
"402","DDR1","Q08345","LINC02570","ENSG00000237923"
"403","DDX58","O95786","DDX58","ENSG00000107201"
"404","DECR1","Q16698","DECR1","ENSG00000104325"
"405","DEFA1_DEFA1B","P59665","CSF3R","ENSG00000119535"
"406","DEFB4A_DEFB4B","O15263",NA,NA
"407","DFFA","O00273","NMNAT1","ENSG00000173614"
"408","DIABLO","Q9NR28","ARHGEF3","ENSG00000163947"
"409","DKK1","O94907","TBC1D5","ENSG00000131374"
"410","DKK3","Q9UBP4","FCGR2B","ENSG00000072694"
"411","DKK4","Q9UBT3","PRKAG3","ENSG00000115592"
"412","DKKL1","Q9UK85","ABCA1","ENSG00000165029"
"413","DLK1","P80370","KCNAB1","ENSG00000169282"
"414","DLL1","O00548","NPHS2","ENSG00000116218"
"415","DNAJA2","O60884","AC004917.1","ENSG00000243797"
"416","DNAJB1","P25685","TRIM58","ENSG00000162722"
"417","DNAJB8","Q8NHS0","DNAJB6","ENSG00000105993"
"418","DNER","Q8NFT8","GRHL1","ENSG00000134317"
"419","DNMBP","Q6XZF7","ARHGEF3","ENSG00000163947"
"420","DNPH1","O43598","DNPH1","ENSG00000112667"
"421","DOK2","O60496","ARHGEF3","ENSG00000163947"
"422","DPEP1","P16444","AC098588.1","ENSG00000285713"
"423","DPEP2","Q9H4A9","HLA-DRB6","ENSG00000229391"
"424","DPP10","Q8N608","DPP10","ENSG00000175497"
"425","DPP4","P27487","DPP4","ENSG00000197635"
"426","DPP6","P42658","FCGR2B","ENSG00000072694"
"427","DPP7","Q9UHL4","AHSG","ENSG00000145192"
"428","DPT","Q07507","DPT","ENSG00000143196"
